frame,class,score,boxes
40,"[0, 0, 0, 0, 0, 0, 0, 0]","[0.27222514152526855, 0.2949831783771515, 0.33475974202156067, 0.5080859065055847, 0.900485098361969, 0.9022546410560608, 0.912086009979248, 0.9304406642913818]","[[163.55437088012695, 20.296593189239502, 275.4814453125, 123.26672172546387], [223.518310546875, 250.7223415374756, 313.0170135498047, 351.47883224487305], [570.8274993896484, 1.0601806640625, 648.4756622314453, 376.4506530761719], [714.5146179199219, 17.469823837280273, 849.1705627441406, 368.95179748535156], [60.38353729248047, 213.73966598510742, 358.5720748901367, 719.8636322021484], [325.8621597290039, 1.7220897674560547, 450.42539978027344, 305.8018341064453], [0.1808795928955078, 115.2740306854248, 131.65592193603516, 665.8239440917969], [454.9010467529297, 87.38358879089355, 635.7625579833984, 601.5640182495117]]"
41,"[0, 0, 0, 0, 0, 0, 0, 0]","[0.27200838923454285, 0.29495981335639954, 0.33854323625564575, 0.5116031169891357, 0.901583731174469, 0.9023087024688721, 0.9120149612426758, 0.9303759336471558]","[[163.5289649963379, 20.29092836380005, 275.44981384277344, 123.26521110534668], [223.51446533203125, 250.72131156921387, 313.0103759765625, 351.48023986816406], [570.7290344238281, 1.03875732421875, 648.4757995605469, 376.4612617492676], [714.520751953125, 17.95172882080078, 849.1552734375, 368.95694732666016], [60.403141021728516, 213.74150276184082, 358.5141906738281, 719.8534698486328], [325.8632583618164, 1.711944580078125, 450.45762634277344, 305.76942443847656], [0.1812000274658203, 115.29330825805664, 131.66697692871094, 665.9052429199219], [454.9009094238281, 87.3804988861084, 635.7646179199219, 601.5549545288086]]"
42,"[0, 0, 0, 0, 0]","[0.2601073980331421, 0.8038308024406433, 0.8932735323905945, 0.9328766465187073, 0.9425969123840332]","[[-1.6920146942138672, 118.97566795349121, 167.88709259033203, 509.67608642578125], [328.7651824951172, 12.27649211883545, 453.9108123779297, 297.57286834716797], [236.8649139404297, 226.94257164001465, 419.22422790527344, 720.1494140625], [10.115341186523438, 238.90673446655273, 273.5679473876953, 717.6722717285156], [459.3401184082031, 98.69806480407715, 645.7059631347656, 620.3821563720703]]"
43,"[0, 0, 0, 0, 0, 0, 0, 0, 0]","[0.27149686217308044, 0.2845105826854706, 0.33283090591430664, 0.3624228835105896, 0.411037415266037, 0.8123468160629272, 0.822769045829773, 0.9254143238067627, 0.9331039190292358]","[[564.7732086181641, 0.4192056655883789, 640.7628021240234, 179.12013244628906], [486.0823516845703, 174.31723594665527, 641.6299896240234, 629.7486877441406], [203.29934692382812, 197.26927185058594, 286.0191650390625, 419.50511169433594], [482.7803649902344, 1.0525331497192383, 558.1849365234375, 188.817626953125], [135.6954803466797, 7.463815212249756, 251.1792755126953, 124.91777801513672], [34.014404296875, 102.7919054031372, 199.51487731933594, 356.73836517333984], [333.79637145996094, 7.142229080200195, 464.89842224121094, 282.73777198791504], [339.3201370239258, 225.29673385620117, 594.5935363769531, 721.0335388183594], [-0.15368270874023438, 233.5326690673828, 229.98582458496094, 718.4384994506836]]"
44,"[0, 0, 0, 0, 0, 0, 0, 0]","[0.322825163602829, 0.3797810971736908, 0.5134819149971008, 0.8363027572631836, 0.8507875800132751, 0.8747047185897827, 0.8975747227668762, 0.9113343358039856]","[[210.4569854736328, 206.75112533569336, 285.2086486816406, 421.0654106140137], [537.2609710693359, 0.27443504333496094, 640.0032806396484, 183.59313011169434], [126.29021072387695, 1.8237133026123047, 250.3187255859375, 124.12659072875977], [82.97782516479492, 106.87431335449219, 264.8588562011719, 574.9333648681641], [436.1990661621094, 103.91535186767578, 629.3235168457031, 419.9600486755371], [335.1841735839844, 0.8909568786621094, 462.46875, 317.5147705078125], [0.4971199035644531, 253.64226722717285, 183.0871696472168, 719.2302017211914], [446.3033752441406, 217.73829460144043, 661.5324096679688, 720.1103439331055]]"
45,"[0, 0, 0, 0, 0, 0]","[0.690843403339386, 0.8333518505096436, 0.8617735505104065, 0.8784802556037903, 0.899784505367279, 0.9248903393745422]","[[554.7693328857422, 49.21811485290527, 642.2746124267578, 230.5744113922119], [335.2049102783203, 4.397089004516602, 460.2410430908203, 315.6556091308594], [0.9807758331298828, 366.40228271484375, 127.85577392578125, 718.831672668457], [428.69361877441406, 121.64186096191406, 609.1828765869141, 688.8122177124023], [548.3873291015625, 207.04042625427246, 812.2344360351562, 718.4176254272461], [144.85906219482422, 102.85465621948242, 297.1780014038086, 595.7153778076172]]"
46,"[0, 0, 0, 0, 0, 0]","[0.5471756458282471, 0.675940752029419, 0.7892400026321411, 0.9238643646240234, 0.9297659993171692, 0.9606302976608276]","[[531.4309844970703, 52.98415946960449, 633.7526092529297, 283.32952308654785], [325.3619842529297, 7.760587692260742, 455.09083557128906, 337.9130172729492], [0.2112722396850586, 423.88453674316406, 66.68001937866211, 718.6180572509766], [435.32872009277344, 136.27968406677246, 626.1161956787109, 707.928840637207], [185.71775436401367, 83.3569107055664, 401.8963623046875, 585.3111877441406], [603.6866455078125, 204.61091995239258, 869.9307861328125, 717.7498626708984]]"
47,"[0, 0, 0, 0, 0, 0, 0]","[0.2560601532459259, 0.5481429696083069, 0.6721864342689514, 0.7903421521186829, 0.9237750768661499, 0.9295157194137573, 0.9607495665550232]","[[126.68907165527344, 25.817991256713867, 245.68418884277344, 386.843994140625], [531.3419036865234, 52.96556854248047, 633.7590179443359, 283.23976135253906], [325.31558990478516, 7.783418655395508, 455.118896484375, 337.8991470336914], [0.2139444351196289, 423.89881896972656, 66.75210571289062, 718.6661224365234], [435.3314208984375, 136.29152870178223, 626.1167907714844, 707.889289855957], [185.69255447387695, 83.36736488342285, 402.0281982421875, 585.3221740722656], [603.6545104980469, 204.58475875854492, 869.9528503417969, 717.7870788574219]]"
48,"[0, 0, 0, 0, 0, 0, 0, 0]","[0.28179001808166504, 0.393667995929718, 0.6101232767105103, 0.6269432902336121, 0.6428381204605103, 0.9214715957641602, 0.9337791204452515, 0.9367749691009521]","[[179.55322265625, 19.622998237609863, 252.3160400390625, 123.17590427398682], [128.86759185791016, 5.514694690704346, 200.29007720947266, 123.58843231201172], [0.11411762237548828, 396.4182357788086, 20.11271381378174, 473.5447998046875], [558.5289001464844, 1.0403022766113281, 640.1679382324219, 279.54176330566406], [326.68121337890625, 1.8005390167236328, 454.8507385253906, 207.8825454711914], [227.98480224609375, 88.57392311096191, 453.81298828125, 577.7008209228516], [761.4332885742188, 179.5869140625, 958.4298706054688, 708.7276840209961], [424.1067352294922, 134.56209182739258, 635.6930694580078, 711.4544219970703]]"
49,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[0.2676946222782135, 0.2746381461620331, 0.2800682783126831, 0.3355261981487274, 0.4000450670719147, 0.5523532032966614, 0.6545183658599854, 0.7778258323669434, 0.9164318442344666, 0.9180449843406677, 0.9293817281723022]","[[713.5778961181641, 2.353365898132324, 790.0167846679688, 133.84398078918457], [125.7571907043457, 7.136070728302002, 186.88496017456055, 122.98200416564941], [317.81920623779297, 5.417804718017578, 437.05128479003906, 156.32968139648438], [699.7810363769531, 1.6727027893066406, 803.3030090332031, 331.69945907592773], [180.7503433227539, 19.519233226776123, 253.44445037841797, 122.78340911865234], [401.5128936767578, 4.494172096252441, 512.5924530029297, 260.6477508544922], [0.32705211639404297, 270.36862564086914, 61.80311965942383, 486.1241798400879], [555.5462951660156, 1.067570686340332, 640.2964782714844, 285.0775337219238], [808.0314331054688, 181.97985649108887, 959.6231689453125, 703.3853073120117], [412.79351806640625, 158.61346435546875, 645.0703125, 720.6241607666016], [300.83621978759766, 78.85806083679199, 457.581298828125, 546.6996688842773]]"
50,"[0, 0, 0, 0, 0, 0, 0, 0]","[0.2551672160625458, 0.33138251304626465, 0.42255720496177673, 0.43915244936943054, 0.6952855587005615, 0.8737684488296509, 0.8769325613975525, 0.9173349142074585]","[[160.53323364257812, 19.008527755737305, 282.84576416015625, 366.4344177246094], [693.5582885742188, 0.9169635772705078, 821.8268737792969, 332.4868698120117], [732.0780944824219, 0.6602182388305664, 833.4524230957031, 133.68577766418457], [179.33254623413086, 19.145075798034668, 269.26991271972656, 122.71001529693604], [551.8218383789062, 0.6527509689331055, 644.7476806640625, 282.81246185302734], [-0.07664680480957031, 206.35626983642578, 96.0252685546875, 718.8383331298828], [343.14491271972656, 64.55075454711914, 498.93690490722656, 543.7308540344238], [422.1906280517578, 161.0112648010254, 643.6247406005859, 719.8453674316406]]"
51,"[0, 0, 0, 0, 0, 0, 0, 0]","[0.2575508654117584, 0.521011471748352, 0.5328460931777954, 0.5349093079566956, 0.8174630403518677, 0.8747952580451965, 0.9264900088310242, 0.9481920599937439]","[[310.61805725097656, 23.08615493774414, 399.89556884765625, 183.08137321472168], [156.91057205200195, 262.33025550842285, 245.91041564941406, 398.8618354797363], [698.1951599121094, 1.965951919555664, 818.8672485351562, 329.50806427001953], [181.10501861572266, 20.019591808319092, 258.45577239990234, 123.76955223083496], [327.3900604248047, 69.29619598388672, 515.9409027099609, 441.9294776916504], [530.5774383544922, 1.1562767028808594, 645.6957550048828, 278.8256607055664], [0.18098831176757812, 190.85272407531738, 131.80720138549805, 717.5543746948242], [426.0119934082031, 165.38804626464844, 651.5234069824219, 720.5487670898438]]"
52,"[0, 0, 0, 0, 0, 0, 0, 0]","[0.4518492519855499, 0.5369852185249329, 0.5430008172988892, 0.6764444708824158, 0.7196270227432251, 0.8561860918998718, 0.9514824151992798, 0.9519314169883728]","[[182.35152053833008, 21.163397312164307, 264.96004486083984, 124.18562507629395], [729.6901245117188, 1.094736099243164, 824.7214965820312, 325.60022735595703], [319.92059326171875, 22.935728073120117, 392.1470031738281, 193.0004825592041], [312.96654510498047, 63.81211280822754, 399.99952697753906, 440.03162384033203], [360.2053985595703, 47.798784255981445, 541.5032501220703, 394.37388610839844], [546.0632629394531, 0.33291149139404297, 643.5187683105469, 284.571475982666], [0.009664535522460938, 198.424467086792, 176.07760620117188, 719.8285446166992], [450.8854064941406, 195.00086975097656, 671.6061401367188, 718.8931274414062]]"
53,"[0, 0, 0, 0, 0, 0, 0, 0]","[0.44615134596824646, 0.5314618349075317, 0.5487254858016968, 0.6682363152503967, 0.7198342680931091, 0.8565245866775513, 0.9515783786773682, 0.952033281326294]","[[182.33399963378906, 21.492313385009766, 264.8440704345703, 124.22107315063477], [729.6881103515625, 1.1340293884277344, 825.2946166992188, 325.6102867126465], [319.92132568359375, 23.34118366241455, 392.16490173339844, 192.9368133544922], [313.03260040283203, 63.8159236907959, 403.11744689941406, 440.22374725341797], [359.9627380371094, 47.77227973937988, 541.47216796875, 394.4871826171875], [545.9230041503906, 0.3125267028808594, 643.4466247558594, 284.5584468841553], [0.010877609252929688, 198.39682960510254, 176.2071075439453, 719.822021484375], [450.9017028808594, 194.98526573181152, 671.5981750488281, 718.9047317504883]]"
54,"[0, 0, 0, 0, 0, 0, 0, 0]","[0.299891859292984, 0.309811532497406, 0.4833371937274933, 0.6059671640396118, 0.7087022662162781, 0.8376782536506653, 0.9534744024276733, 0.9543502330780029]","[[219.24343872070312, 225.1014862060547, 279.2376708984375, 417.0824203491211], [744.996826171875, 19.574237823486328, 840.2213745117188, 328.16076278686523], [251.85704040527344, 49.41459846496582, 378.90367126464844, 438.72754669189453], [189.04887771606445, 20.094740867614746, 274.76573181152344, 123.96506595611572], [552.9100799560547, 0.8228588104248047, 642.1872711181641, 212.2789134979248], [335.33294677734375, 49.13693618774414, 560.7302856445312, 460.7491264343262], [478.6650695800781, 189.61911392211914, 720.715576171875, 720.2767181396484], [9.893852233886719, 210.85568618774414, 222.91383361816406, 719.8077392578125]]"
55,"[0, 0, 0, 0, 0, 0, 0, 0, 0]","[0.3474658131599426, 0.3595598340034485, 0.38376864790916443, 0.4448729455471039, 0.4883991777896881, 0.5129497647285461, 0.7652595043182373, 0.9314612150192261, 0.9618808031082153]","[[415.61224365234375, 0.035147666931152344, 529.9840393066406, 151.1613006591797], [754.0856781005859, 3.7014312744140625, 847.1166687011719, 324.7631034851074], [197.2288055419922, 21.506316661834717, 273.63404846191406, 123.60110092163086], [216.83065795898438, 29.18909454345703, 370.89019775390625, 440.1188621520996], [427.83709716796875, 42.56695747375488, 576.2097473144531, 424.4398956298828], [0.1678619384765625, 198.40228843688965, 30.466381072998047, 396.16163635253906], [556.8414001464844, 0.9453563690185547, 643.9892578125, 293.3987503051758], [497.91668701171875, 218.44610595703125, 766.8456115722656, 719.0299758911133], [42.20877456665039, 206.1298484802246, 273.5303649902344, 719.5400848388672]]"
56,"[0, 0, 0, 0, 0, 0]","[0.28834304213523865, 0.3487846553325653, 0.821377158164978, 0.8491506576538086, 0.946468710899353, 0.9559249877929688]","[[760.4964752197266, 0.3237791061401367, 844.2814636230469, 131.83789443969727], [179.69618225097656, 21.21882677078247, 261.9412078857422, 125.52439498901367], [557.4623565673828, 1.1064949035644531, 642.1802215576172, 298.7443199157715], [434.7238311767578, 28.444324493408203, 570.9574127197266, 436.02810287475586], [73.40376663208008, 229.40029907226562, 318.08912658691406, 718.3401718139648], [498.6387176513672, 239.45890045166016, 792.14208984375, 718.35205078125]]"
57,"[0, 0, 0, 0, 0, 0, 0]","[0.3541070818901062, 0.3932875990867615, 0.48881199955940247, 0.8668312430381775, 0.8899600505828857, 0.9532498717308044, 0.9557667970657349]","[[184.68687057495117, 11.551415920257568, 277.23486328125, 124.80939102172852], [416.6503601074219, 26.55416965484619, 466.1452331542969, 245.34856796264648], [519.568359375, 0.22049903869628906, 580.5295715332031, 97.58254051208496], [553.0332641601562, 1.0299854278564453, 640.8169555664062, 299.7117691040039], [432.84361267089844, 40.65882110595703, 569.3429718017578, 434.08829498291016], [114.6163215637207, 249.00826835632324, 368.7099609375, 717.8072662353516], [517.6664886474609, 246.1765422821045, 789.9497680664062, 718.3357772827148]]"
58,"[0, 0, 0, 0, 0, 0]","[0.3212653398513794, 0.5887591242790222, 0.8801787495613098, 0.8809486627578735, 0.8908998370170593, 0.9538726806640625]","[[618.7165832519531, 0.027182579040527344, 719.0896911621094, 122.79835224151611], [749.0643310546875, 0.8062033653259277, 842.8767700195312, 132.62638664245605], [550.2538604736328, 2.3879470825195312, 640.7063140869141, 297.4083480834961], [415.3329620361328, 24.644102096557617, 558.4313507080078, 431.3026428222656], [536.0575103759766, 291.9383239746094, 800.8675231933594, 719.3085479736328], [153.14477920532227, 254.84719276428223, 398.66578674316406, 718.8549499511719]]"
59,"[0, 0, 0, 0, 0, 0]","[0.32189494371414185, 0.5890949368476868, 0.8786635994911194, 0.8789340853691101, 0.8907544016838074, 0.9537856578826904]","[[618.7110900878906, 0.02735424041748047, 719.1038818359375, 122.86778926849365], [749.0219879150391, 0.806847095489502, 842.8796081542969, 132.62101364135742], [415.3029327392578, 24.254121780395508, 558.4662322998047, 431.31974029541016], [550.0613250732422, 2.344379425048828, 640.7150115966797, 297.4518814086914], [536.07275390625, 291.94361114501953, 800.8706359863281, 719.3082046508789], [153.13652801513672, 254.83948516845703, 398.6181335449219, 718.8550186157227]]"
60,"[0, 0, 0, 0, 0, 0]","[0.2514987289905548, 0.30666548013687134, 0.8470895886421204, 0.9000028967857361, 0.9462887048721313, 0.9551531076431274]","[[149.45011138916016, 343.7401657104492, 215.3346176147461, 445.730712890625], [622.2403564453125, 0.05461835861206055, 725.8730163574219, 106.39155006408691], [548.9326171875, 2.7914886474609375, 641.511474609375, 296.5067138671875], [401.4687194824219, 16.720504760742188, 535.1311340332031, 429.48838806152344], [190.78439712524414, 286.02563667297363, 427.0229187011719, 718.75634765625], [554.4214782714844, 303.64648818969727, 837.3049621582031, 719.4439544677734]]"
61,"[0, 0, 0, 0, 0]","[0.2649020254611969, 0.7778084874153137, 0.8341795802116394, 0.9336700439453125, 0.944776713848114]","[[187.1407241821289, 25.212215423583984, 277.63465118408203, 125.32751655578613], [380.59986877441406, 17.063690185546875, 522.4123077392578, 408.1746711730957], [550.7093811035156, 1.2944984436035156, 640.8328857421875, 296.8223648071289], [214.3824462890625, 290.75598907470703, 471.396240234375, 719.0978164672852], [546.0143737792969, 344.31681060791016, 864.3316955566406, 719.1286468505859]]"
62,"[0, 0, 0, 0, 0]","[0.3242158591747284, 0.8568388819694519, 0.9115086197853088, 0.9366455674171448, 0.9522429704666138]","[[621.8572998046875, 0.03993701934814453, 733.1729736328125, 112.16642761230469], [367.5326385498047, 6.0453643798828125, 500.7447967529297, 398.0420837402344], [527.2158508300781, 1.8064441680908203, 639.5020751953125, 296.57022857666016], [220.17166900634766, 318.88243103027344, 497.19598388671875, 719.4432678222656], [514.8834228515625, 386.27318572998047, 845.2586059570312, 718.6432571411133]]"
63,"[0, 0, 0, 0, 0, 0]","[0.3060206472873688, 0.3663281500339508, 0.7895897030830383, 0.8191378116607666, 0.9391303658485413, 0.9526231288909912]","[[-0.12584209442138672, 191.6612663269043, 76.54004287719727, 464.1265296936035], [621.8546447753906, -0.609839916229248, 735.3987121582031, 119.41912078857422], [351.3558654785156, 6.167295455932617, 494.84197998046875, 395.24544525146484], [547.4696960449219, 2.5206069946289062, 639.466552734375, 296.79699325561523], [241.30526733398438, 349.63786697387695, 503.68487548828125, 719.3537292480469], [467.444091796875, 405.1010055541992, 793.4700622558594, 718.8345565795898]]"
64,"[0, 0, 0, 0, 0, 0, 0]","[0.30398237705230713, 0.6060322523117065, 0.8083001375198364, 0.8094897270202637, 0.8533836007118225, 0.9000036120414734, 0.9499024748802185]","[[622.7220611572266, 0.06161785125732422, 723.6745147705078, 108.21910858154297], [-0.15155410766601562, 192.6837158203125, 74.2613639831543, 455.00337982177734], [318.84217071533203, 3.004915237426758, 454.8005676269531, 376.0232162475586], [403.83851623535156, 0.9383955001831055, 503.7967987060547, 245.1932487487793], [553.1651000976562, 0.44170188903808594, 640.2828369140625, 297.56710052490234], [261.11146545410156, 360.6580810546875, 518.6481170654297, 719.7591247558594], [423.32286071777344, 475.8430709838867, 745.0367889404297, 719.1752700805664]]"
65,"[0, 0, 0, 0, 0, 0, 0]","[0.2971039414405823, 0.6070850491523743, 0.807908296585083, 0.8134118318557739, 0.8521440029144287, 0.8999376893043518, 0.9498450756072998]","[[622.7139587402344, 0.06916666030883789, 723.5136108398438, 108.1186695098877], [-0.14931964874267578, 192.65721130371094, 74.26203918457031, 454.9588851928711], [318.7569122314453, 3.066335678100586, 454.8025360107422, 375.9723358154297], [403.70484924316406, 0.9355030059814453, 503.7301483154297, 245.24218940734863], [553.1820831298828, 0.10617256164550781, 640.2448883056641, 297.7724075317383], [261.1160202026367, 360.66048431396484, 518.637451171875, 719.7563095092773], [423.3285827636719, 475.84550857543945, 745.0424194335938, 719.1753387451172]]"
66,"[0, 0, 0, 0, 0, 0, 0]","[0.2653777003288269, 0.3343884348869324, 0.4871538281440735, 0.8298068642616272, 0.8858593702316284, 0.9183357357978821, 0.9364636540412903]","[[186.8898468017578, 21.77211284637451, 262.7372131347656, 123.3924036026001], [168.8411407470703, 15.639106750488281, 295.5955352783203, 423.01696014404297], [403.2809143066406, 2.5296192169189453, 490.1346130371094, 247.02331352233887], [552.7636413574219, 2.9835777282714844, 640.1544799804688, 295.0875549316406], [307.6908187866211, 0.031894683837890625, 422.7915344238281, 375.4306411743164], [274.3000259399414, 411.3888244628906, 497.88116455078125, 719.3707580566406], [406.2092742919922, 499.9437446594238, 698.2405242919922, 718.9972915649414]]"
67,"[0, 0, 0, 0, 0, 0, 0]","[0.26653772592544556, 0.33223310112953186, 0.3891891539096832, 0.6457703709602356, 0.7718238234519958, 0.8225124478340149, 0.9025421738624573]","[[621.964599609375, 0.00020599365234375, 728.3719482421875, 125.4626054763794], [505.38482666015625, 0.06159853935241699, 557.7395324707031, 39.937336921691895], [418.58697509765625, 560.017261505127, 569.9236450195312, 720.3904266357422], [400.5713653564453, 1.1912527084350586, 476.9850311279297, 246.2842254638672], [307.84622955322266, 1.3627853393554688, 393.35911560058594, 373.8197021484375], [553.9088287353516, 2.5086936950683594, 640.2848052978516, 295.77114486694336], [286.79754638671875, 424.06224060058594, 569.0545349121094, 719.5088424682617]]"
68,"[0, 0, 0, 0, 0]","[0.33684197068214417, 0.5745507478713989, 0.5824323296546936, 0.8310351967811584, 0.9158200621604919]","[[156.7320556640625, 17.091876983642578, 294.0308074951172, 422.5051689147949], [190.75318908691406, 23.34085750579834, 259.927001953125, 124.57405185699463], [408.11146545410156, 1.2301254272460938, 481.95542907714844, 245.7729148864746], [553.3052673339844, -4.109762191772461, 639.8808288574219, 298.1605682373047], [302.3597717285156, 465.13023376464844, 582.7232666015625, 719.2600708007812]]"
69,"[0, 0, 0, 0]","[0.28874659538269043, 0.5515815019607544, 0.8396345376968384, 0.8970980048179626]","[[740.8462371826172, 1.7726783752441406, 842.5616455078125, 353.4965400695801], [408.46875, 0.18159198760986328, 534.47314453125, 246.0944366455078], [554.73193359375, 1.6576480865478516, 638.9486389160156, 295.2531051635742], [360.3752746582031, 516.6770553588867, 571.2691955566406, 719.4900283813477]]"
70,"[0, 0, 0, 0, 0, 0, 0]","[0.2879956066608429, 0.4015054702758789, 0.40534213185310364, 0.6234063506126404, 0.6735396385192871, 0.8239077925682068, 0.9247139692306519]","[[195.5244369506836, 22.467564582824707, 264.6899642944336, 121.27856540679932], [0.25388145446777344, 485.60871505737305, 64.75114631652832, 719.013427734375], [745.9601440429688, 208.83574676513672, 823.4168701171875, 370.37493896484375], [407.3998718261719, 1.031890869140625, 487.7337341308594, 246.98827743530273], [308.04112243652344, 1.3433876037597656, 385.96568298339844, 227.20111083984375], [554.7185668945312, 2.222379684448242, 639.2623901367188, 295.18457794189453], [336.2175064086914, 536.1311645507812, 569.1205444335938, 719.6082000732422]]"
71,"[0, 0, 0, 0, 0, 0, 0]","[0.2842865288257599, 0.39838653802871704, 0.3998536765575409, 0.6334090828895569, 0.6657663583755493, 0.8211930990219116, 0.9244298934936523]","[[195.6074981689453, 22.4155855178833, 264.8174743652344, 121.14770793914795], [745.9503021240234, 208.89177703857422, 823.4498291015625, 370.35255432128906], [0.2522449493408203, 485.56912994384766, 64.70847129821777, 719.0353317260742], [407.40138244628906, 0.9958591461181641, 487.9763946533203, 246.9202651977539], [308.01830291748047, 1.3491640090942383, 384.94093322753906, 227.1668472290039], [554.7365570068359, 2.291971206665039, 639.2084197998047, 294.98455810546875], [336.12615966796875, 536.1294136047363, 569.1920471191406, 719.6123199462891]]"
72,"[0, 0, 0, 0, 0, 0, 0, 0]","[0.31132322549819946, 0.3270449638366699, 0.36454275250434875, 0.5592753887176514, 0.752975344657898, 0.8007270097732544, 0.8104009628295898, 0.8326770663261414]","[[693.3318786621094, -0.3889031410217285, 740.9761962890625, 120.64445686340332], [0.1512436866760254, 390.2314910888672, 38.78199577331543, 494.316650390625], [193.02854919433594, 25.86207389831543, 272.41534423828125, 123.15337371826172], [404.394287109375, 0.9815769195556641, 478.93853759765625, 245.08031272888184], [409.10362243652344, 607.3795623779297, 522.5443267822266, 719.7059783935547], [-0.2512378692626953, 461.8008270263672, 147.52965545654297, 719.0333404541016], [339.33304595947266, 0.8949050903320312, 415.6468963623047, 228.0739402770996], [554.741455078125, 2.9446449279785156, 639.3232727050781, 295.0777015686035]]"
73,"[0, 0, 0, 0, 0]","[0.6613932251930237, 0.7197091579437256, 0.8452832698822021, 0.850997805595398, 0.8926305174827576]","[[430.7029266357422, 634.0118637084961, 549.6150054931641, 719.5133743286133], [0.12318992614746094, 247.71656799316406, 111.40727233886719, 618.6724090576172], [380.95806884765625, 0.15144824981689453, 489.8870544433594, 245.49142456054688], [553.3691711425781, 2.8880996704101562, 639.25048828125, 295.51379013061523], [17.84194564819336, 491.07036209106445, 224.3762969970703, 719.8118591308594]]"
74,"[0, 0, 0, 0, 0]","[0.513809859752655, 0.5189040303230286, 0.8208538293838501, 0.8430414795875549, 0.8565553426742554]","[[737.8236694335938, 4.641946792602539, 878.9344482421875, 398.14762115478516], [70.08987808227539, 498.87106704711914, 291.1263885498047, 719.8320465087891], [-0.07988548278808594, 248.2529754638672, 165.09294891357422, 710.1274795532227], [551.9931335449219, 2.1501102447509766, 639.205078125, 295.1791534423828], [390.0207824707031, 0.39028072357177734, 500.1603698730469, 246.06710815429688]]"
75,"[0, 0, 0, 0, 0, 0, 0, 0, 0]","[0.30670008063316345, 0.3808264136314392, 0.3820868134498596, 0.46635451912879944, 0.7827169895172119, 0.8209543228149414, 0.851669192314148, 0.9192206859588623, 0.9199146628379822]","[[327.2014389038086, -0.03402972221374512, 353.8864059448242, 38.13673782348633], [144.32104110717773, 0.9738650321960449, 200.61419677734375, 118.42166519165039], [749.2021636962891, 52.122161865234375, 850.3224792480469, 402.50119400024414], [345.08692932128906, 0.08321285247802734, 384.0076904296875, 38.907334327697754], [465.86695861816406, 0.5161600112915039, 523.9345550537109, 217.80642700195312], [407.7487335205078, 0.7527866363525391, 482.8369903564453, 246.16742706298828], [553.9346923828125, 2.3518810272216797, 638.8969116210938, 297.4871063232422], [114.005126953125, 522.637035369873, 342.15179443359375, 718.8977279663086], [35.429019927978516, 227.49588775634766, 206.7729034423828, 718.5018081665039]]"
76,"[0, 0, 0, 0, 0, 0, 0]","[0.26442423462867737, 0.5599287748336792, 0.839375913143158, 0.8705267310142517, 0.8820860385894775, 0.8952670693397522, 0.9057286977767944]","[[317.7462387084961, 0.18129587173461914, 374.27442169189453, 36.99980306625366], [730.0887908935547, 1.3238697052001953, 841.7386779785156, 414.24039459228516], [408.78208923339844, 0.20559024810791016, 487.0052032470703, 246.18665313720703], [468.0138244628906, 0.43099021911621094, 550.8385620117188, 222.9177646636963], [546.1513824462891, -1.8439693450927734, 640.9915924072266, 302.2566833496094], [171.0534439086914, 549.3041839599609, 378.2214889526367, 719.0009307861328], [56.82265090942383, 228.8309497833252, 264.3089904785156, 718.5330505371094]]"
77,"[0, 0, 0, 0, 0, 0, 0]","[0.2631772756576538, 0.5629676580429077, 0.8386900424957275, 0.870081901550293, 0.8814854621887207, 0.8952359557151794, 0.9057919383049011]","[[317.6137390136719, 0.18109631538391113, 374.1957092285156, 36.98481273651123], [729.8171997070312, 1.368072509765625, 841.7777709960938, 414.20372772216797], [408.8367919921875, 0.18923091888427734, 486.94757080078125, 246.2057762145996], [468.0504913330078, 0.4349555969238281, 550.6650238037109, 222.98191452026367], [546.1700134277344, -1.7481651306152344, 640.9944763183594, 302.2573356628418], [171.1468963623047, 549.3086814880371, 378.2751159667969, 719.0021667480469], [59.165931701660156, 228.84839057922363, 264.26277923583984, 718.5496673583984]]"
78,"[0, 0, 0, 0, 0, 0]","[0.258577823638916, 0.704474925994873, 0.738004207611084, 0.8246762156486511, 0.8445375561714172, 0.8823127746582031]","[[197.84861755371094, 26.7234148979187, 261.50628662109375, 113.72174835205078], [410.2767791748047, 0.9906063079833984, 486.49452209472656, 245.73756980895996], [474.9035339355469, 0.4524564743041992, 555.1515197753906, 226.51961517333984], [529.6487731933594, 3.7342872619628906, 632.0016174316406, 294.89738845825195], [204.31047821044922, 564.1006393432617, 404.66949462890625, 719.8310165405273], [125.2478256225586, 217.94686317443848, 328.70011138916016, 719.5623321533203]]"
79,"[0, 0, 0, 0, 0, 0, 0]","[0.28577008843421936, 0.30939576029777527, 0.3977597951889038, 0.4633042514324188, 0.7238425612449646, 0.7274969220161438, 0.9354910850524902]","[[308.5293273925781, 9.853405952453613, 357.97412109375, 197.6326446533203], [195.5281219482422, 27.509920120239258, 262.74632263183594, 117.17044258117676], [521.0332946777344, 0.24190092086791992, 581.2219848632812, 100.15351295471191], [0.05811309814453125, 231.8488426208496, 40.77127647399902, 446.8129692077637], [536.4949035644531, 1.5301895141601562, 644.9625549316406, 424.6654930114746], [408.6504364013672, 0.5686712265014648, 490.4557342529297, 246.6456069946289], [158.40977096557617, 205.3923225402832, 377.09271240234375, 720.0737457275391]]"
